smiles,Reactivity
C#Cc1ccc2ccc3cccc4ccc1c2c34,0.0
O=C(O)c1cc(=O)c2ccccc2[nH]1,0.0
CCOc1ccc(O)cc1,0.0
CCCCCOC(=O)C1CCCCC1,1.0
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,1.0
C=CCCc1ccc(OC)cc1,1.0
BrCCCc1ccccc1,1.0
CC(=O)NCCC1=CCC2CC1C2(C)C,1.0
CC(NCc1ccccc1)c1ccccc1,1.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0.0
COC(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2,1.0
CCc1ccccc1CC,1.0
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,0.0
Nc1ccc(C(F)(F)F)cc1,0.0
Fc1ccnc(F)c1,0.0
O=C1Nc2ccc(F)cc2C1=O,0.0
COc1ccccc1C,1.0
CNc1cccc2c1C(=O)c1ccccc1C2=O,0.0
CCCCCOC(=O)c1ccc(Cl)cc1,1.0
CCc1ccc(OCc2ccccc2)cc1,1.0
Nc1c(N)c2ccccc2c2ccccc12,0.0
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,0.0
COc1ccccc1C(=O)Cc1ccccc1,1.0
C#CCCCc1ccccc1,1.0
CC(C)(C)[Si](C)(C)O,0.0
Nc1ccc(Cl)c(C(F)(F)F)c1,0.0
CCc1cccc2ccccc12,1.0
CCc1cccnc1,1.0
Oc1ccc2c(ccc3ccccc32)c1,0.0
CC(=O)NC(Cc1ccccc1)C(=O)O,1.0
O=C(n1ccnc1)n1ccnc1,0.0
C=C(C)C1CCC2(C)CCCC(C)=C2C1,1.0
O=C1C(=O)c2cc(Br)ccc2-c2ccc(Br)cc21,0.0
CC(=O)OC(C)c1ccccc1,0.0
O=C1c2ccccc2C(=O)c2cc(Br)ccc21,0.0
Cc1cc(C)c2nc(C3CCCCC3)n(Cc3ccccc3)c2c1,1.0
O=C(O)c1c[nH]c2c(ccc3ccccc32)c1=O,0.0
CC(C)CCc1ccccc1,1.0
CC(C)(C)C1CCC(CC2=C(O)c3ccccc3C(=O)C2=O)CC1,1.0
Cc1ccc(S(=O)(=O)O)cc1,1.0
O=C1C(=O)c2ccc(Br)cc2-c2cc(Br)ccc21,0.0
CC1=C(N)C(=O)c2ccccc2C1=O,0.0
CCc1ccc2nc(-c3ccccc3)sc2c1,1.0
CC1CNCC(C)O1,1.0
Nc1cccc2cc3ccccc3cc12,0.0
COC(=O)c1c[nH]c2ccc(Br)cc12,0.0
CCC=CC(C)(C)O,1.0
CC(C)(C)[Si](C)(C)Cl,0.0
COC(=O)C1(C)CCCCC1,1.0
O=C(O)c1cccc2c1-c1ccccc1C2=O,0.0
O=C(c1ccc(Br)cc1)c1ccc(Br)cc1,0.0
O=C1C=CC(=O)c2c(O)ccc(O)c21,0.0
Oc1c2ccccc2cc2ccccc12,0.0
O=C(c1ccccc1)c1ccncc1,0.0
Cc1ccc(-c2ccccc2)cc1,1.0
COc1ccc2c(c1)CCCC2,1.0
c1ccc(COCc2ccccc2)cc1,1.0
N#Cc1ccc(Br)cc1,0.0
Nc1c(O)cc(S(=O)(=O)O)c2ccccc12,0.0
CC1CCC(OC(=O)c2ccc(Cl)cc2)CC1,1.0
Nc1ccccc1Cl,0.0
O=C1c2cccc(Cl)c2C(=O)c2c(Cl)cccc21,0.0
CC(C)(C)c1ccc2cc3ccccc3cc2c1,0.0
CCCC(C)COC(=O)C(C)(C)C,1.0
O=C1c2ccccc2C(=O)c2cc(-c3ccccc3)ccc21,0.0
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.0
O=[N+]([O-])c1ccc(Cl)nc1,0.0
O=[N+]([O-])c1ccc(Cc2ccccc2)cc1,1.0
O=C1c2ccccc2C(=O)c2cc(O)ccc21,0.0
O=C(c1ccc2ccccc2c1)C(F)(F)F,0.0
O=C1c2ccccc2-c2n[nH]c3cccc1c23,0.0
C1CCOCC1,1.0
CC1(O)C=CCCC1,1.0
COc1ccc2cc(CCC(C)=O)ccc2c1,0.0
O=C(O)C(=O)c1ccc2ccccc2c1,0.0
O=c1c(=O)c2cccc3ccc4cccc1c4c32,0.0
CCc1ccc(C(=O)OC)cc1,1.0
COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,0.0
Nc1cccc(C(F)(F)F)c1,0.0
O=C(Cl)CCCBr,0.0
CCCCc1cc2ccccc2o1,1.0
O=C(O)c1cc2ccccc2c(N=Nc2c(O)cc(S(=O)(=O)O)c3ccccc23)c1O,0.0
COc1ccc(CC(=O)c2ccc(OC)cc2)cc1,1.0
Clc1ccnc(Cl)n1,0.0
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0.0
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,0.0
O=c1c2ccccc2c2nc3ccc4c(=O)c5ccccc5c5nc6ccc1c2c6c3c45,0.0
c1ccc2c(c1)CCOC2,1.0
O=c1c2ccccc2c2ccc3sc4ccccc4c4ccc1c2c34,0.0
CCCCC#CC(C)(C)O,1.0
CCCCCC=O,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.0
O=C(OCCCCc1ccccc1)c1ccc(Cl)cc1,1.0
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,0.0
Nc1nc(-c2ccc(Cl)cc2)cs1,0.0
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.0
O=C(F)c1ccc(-c2ccccc2)cc1,0.0
COc1cc(C)cc(C)c1,1.0
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,0.0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,0.0
CCc1ccc(-c2ccc(CC)cc2)cc1,1.0
CCCCCCc1ccc(Br)s1,1.0
CC(C)(C)c1cc(O)ccc1O,0.0
O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,0.0
c1ccc(CCCc2ccncc2)cc1,1.0
COc1ccc(CCCOC(=O)C(NC(=O)OC(C)(C)C)C(C)C)cc1,1.0
C1CCCCC1,1.0
CC(=O)c1ccc(Br)cc1,0.0
CN(C)C(=O)CBr,0.0
CNc1ccc(NC)c2c1C(=O)c1ccccc1C2=O,0.0
CCCc1ccc(OC)cc1,1.0
O=C1c2ccccc2C(=O)c2c1ccc(C(=O)O)c2[N+](=O)[O-],0.0
Cc1cccc([N+](=O)[O-])c1C,1.0
CCCCC(=O)c1ccccc1,1.0
O=C1c2cc3ccccc3cc2C(=O)c2cc3ccccc3cc21,0.0
CCc1ccccn1,1.0
CC1CCCCC1C,1.0
Oc1ccc(O)c2ccccc12,0.0
CCc1ccc(-c2ccccc2)cc1,1.0
CCCCCCC=CC(C)(C)O,1.0
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.0
Nc1ccc(Cl)nc1,0.0
Cc1cnc2ccccc2c1,1.0
COC(=O)Cc1ccccc1Br,1.0
N#Cc1ccccc1,0.0
Oc1cc2c3cc(O)c(O)cc3c3cc(O)c(O)cc3c2cc1O,0.0
Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O,0.0
O=Cc1ccc2c3cccc4cccc(c5cccc1c52)c43,0.0
CCc1ccc(OC)cc1,1.0
COC(=O)C(C)(C)Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1,1.0
O=C1c2ccccc2C(=O)N1C1CCCCCC1,1.0
CC(=O)CCC1C(C)CCCC1(C)C,1.0
CC(=O)OCC1=CCC2CC1C2(C)C,1.0
O=c1c2ccccc2sc2ccc(C(F)(F)F)cc12,0.0
CC(=O)OC1CC(C)CCC1C(C)C,1.0
O=C1c2ccccc2C(=O)c2c(F)ccc(F)c21,0.0
O=C1OC(=O)c2cc(Br)c3c4ccc5c6c(cc(Br)c(c7ccc1c2c73)c64)C(=O)OC5=O,0.0
O=C(O)c1cc(O)c2ccccc2c1O,0.0
O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,0.0
O=Cc1c(O)ccc2ccccc12,0.0
O=C1OC(=O)c2cc(-c3ccc4c(c3)C(=O)OC4=O)ccc21,0.0
Oc1cc2ccccc2c2ccccc12,0.0
Nc1ccc(Br)cc1,0.0
CCc1ccncc1,1.0
COC(=O)C1(C(=O)OC)CC(=O)N(C)c2c(C)cc(C)cc21,1.0
O=C1C(=O)c2ccccc2-c2ccccc21,0.0
Nc1c(Br)cc(O)c2c1C(=O)c1ccccc1C2=O,0.0
CC(C)c1ccc(CCc2ccccc2)cc1,1.0
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,1.0
CC(=O)N1CCCC1,1.0
CCNC(C)=O,1.0
CCc1ccc(-c2ccccc2)c(F)c1,1.0
Oc1cc2ccccc2cc1O,0.0
Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,0.0
CC1(C)CC(C)(c2ccccc2)c2ccccc21,0.0
CC(C)c1ccc2c(c1)CCC1C(C)(CN)CCCC21C,1.0
CNc1ccc(Br)c2c1C(=O)c1ccccc1C2=O,0.0
O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,0.0
Nc1c(Cl)c(Cl)c(N)c2c1C(=O)c1ccccc1C2=O,0.0
CC1=CC(C)(O[Si](C)(C)C)CCC1,1.0
Nc1n[nH]c(C(=O)O)n1,0.0
CCCCCCCC,1.0
CCCCCOC(=O)c1ccccc1,1.0
C1CCSC1,1.0
O=C1c2cccc(Cl)c2C(=O)c2cccc(Cl)c21,0.0
O=C(O)c1c(O)cc2ccccc2c1O,0.0
O=C(O)C1CCCN1,1.0
CCOC(C(=O)c1ccccc1)c1ccccc1,0.0
CCCC(C)COC(=O)c1ccc(Cl)cc1,1.0
CC1(C)C(=O)NC2=C1C(=O)C(=O)c1ccccc12,0.0
Nc1cc2ccccc2cc1O,0.0
