HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,mulliken_dipole_tot,mulliken_quadrupoles
0.4229699999999999,0.4415699999999999,0.5224799999999999,0.5400499999999999,0.41394,0.43254,0.51345,0.53102,0.3753999999999999,0.3939999999999999,0.4749099999999999,0.49248,0.36529,0.38389,0.4648,0.48237,5.3592,1.880920437799891
0.47384,0.4831999999999999,0.55501,0.56505,0.46772,0.47708,0.54889,0.55893,0.38479,0.39415,0.46596,0.476,0.37081,0.38017,0.4519799999999999,0.46202,0.5914,4.147594951294063
0.46745,0.5030600000000001,0.53234,0.53889,0.46689,0.5025,0.53178,0.53833,0.44904,0.48465,0.51393,0.52048,0.3948899999999999,0.4305,0.4597799999999999,0.46633,0.2024,0.9843211332351516
0.42672,0.4475599999999999,0.48451,0.48814,0.40923,0.4300699999999999,0.46702,0.47065,0.38122,0.40206,0.43901,0.44264,0.37624,0.39708,0.43403,0.43766,2.0218,19.92933339276555
0.41903,0.44532,0.45291,0.48268,0.4119899999999999,0.43828,0.44587,0.4756399999999999,0.3722999999999999,0.39859,0.40618,0.4359499999999999,0.36685,0.39314,0.40073,0.4305,1.1431,31.638075137614383
0.4304,0.45092,0.50266,0.52434,0.3967799999999999,0.4173,0.4690399999999999,0.4907199999999999,0.37206,0.39258,0.44432,0.4659999999999999,0.33653,0.35705,0.40879,0.43047,0.6075,5.353139095272356
0.46108,0.4611599999999999,0.49795,0.51163,0.45499,0.45507,0.4918599999999999,0.50554,0.41415,0.41423,0.45102,0.4647,0.40056,0.40064,0.43743,0.45111,0.5044,1.1134628028512374
0.46859,0.48405,0.50193,0.5212,0.46172,0.47718,0.49506,0.51433,0.41081,0.42627,0.44415,0.46342,0.38328,0.39874,0.41662,0.43589,0.5881,1.0394037040534347
0.43668,0.44185,0.47152,0.47525,0.42225,0.42742,0.45709,0.46082,0.41339,0.41856,0.44823,0.45196,0.39499,0.40016,0.42983,0.43356,2.2261,0.6481682600477544
0.50073,0.52797,0.55425,0.56647,0.4815899999999999,0.50883,0.53511,0.54733,0.47036,0.4976,0.52388,0.5361,0.40618,0.43342,0.4597,0.47192,0.1897,1.187843496986591
