index,CAS,smiles,Mapped SMILES,Reactivity,Oxidation Site,Oxidation Site (one hot)
506,92149-07-0,COc1ccnc2c1ccc1c(OC)ccnc12,[CH3:1][O:2][c:3]1[cH:4][cH:5][n:6][c:7]2[c:8]1[cH:9][cH:10][c:11]1[c:12]([O:13][CH3:14])[cH:15][cH:16][n:17][c:18]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
508,23593-75-1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,[Cl:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[n:21]1[cH:22][cH:23][n:24][cH:25]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
511,53226-42-9,O=C(NC1CCCC1)c1ccccc1,[O:1]=[C:2]([NH:3][CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8]1)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
512,1035-52-5,O=C(c1ccccc1)N(C1CCCCC1)C1CCCCC1,[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[N:9]([CH:10]1[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]1)[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
513,2074732-95-7,O=S(=O)(c1ccc(C(F)(F)F)cc1)C12CCC1C2,[O:1]=[S:2](=[O:3])([c:4]1[cH:5][cH:6][c:7]([C:8]([F:9])([F:10])[F:11])[cH:12][cH:13]1)[C:14]12[CH2:15][CH2:16][CH:17]1[CH2:18]2,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
514,959085-68-8,O=C(OC1CCC1)c1ccc(C(F)(F)F)cc1,[O:1]=[C:2]([O:3][CH:4]1[CH2:5][CH2:6][CH2:7]1)[c:8]1[cH:9][cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][cH:17]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
515,4674-50-4 ,C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,[CH2:1]=[C:2]([CH3:3])[CH:4]1[CH2:5][CH2:6][C:7]2=[CH:8][C:9](=[O:10])[CH2:11][CH:12]([CH3:13])[C:14]2([CH3:15])[CH2:16]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
516,57-63-6,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,[CH:1]#[C:2][C:3]1([OH:4])[CH2:5][CH2:6][CH:7]2[CH:8]3[CH2:9][CH2:10][c:11]4[cH:12][c:13]([OH:14])[cH:15][cH:16][c:17]4[CH:18]3[CH2:19][CH2:20][C:21]12[CH3:22],1,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
517,53-16-7,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,[CH3:1][C:2]12[CH2:3][CH2:4][CH:5]3[c:6]4[cH:7][cH:8][c:9]([OH:10])[cH:11][c:12]4[CH2:13][CH2:14][CH:15]3[CH:16]1[CH2:17][CH2:18][C:19]2=[O:20],1,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
518,1446-61-3 ,CC(C)c1ccc2c(c1)CCC1C(C)(CN)CCCC21C,[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]2[c:8]([cH:9]1)[CH2:10][CH2:11][CH:12]1[C:13]([CH3:14])([CH2:15][NH2:16])[CH2:17][CH2:18][CH2:19][C:20]21[CH3:21],1,"2,10","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
519,50-28-2,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,[CH3:1][C:2]12[CH2:3][CH2:4][CH:5]3[c:6]4[cH:7][cH:8][c:9]([OH:10])[cH:11][c:12]4[CH2:13][CH2:14][CH:15]3[CH:16]1[CH2:17][CH2:18][CH:19]2[OH:20],1,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
520,481-06-1,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,[CH3:1][C:2]1=[C:3]2[CH:4]3[O:5][C:6](=[O:7])[CH:8]([CH3:9])[CH:10]3[CH2:11][CH2:12][C:13]2([CH3:14])[CH:15]=[CH:16][C:17]1=[O:18],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
521,470-17-7,C=C1C(=O)OC2CC3(C)CCCC(=C)C3CC12,[CH2:1]=[C:2]1[C:3](=[O:4])[O:5][CH:6]2[CH2:7][C:8]3([CH3:9])[CH2:10][CH2:11][CH2:12][C:13](=[CH2:14])[CH:15]3[CH2:16][CH:17]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
522,99614-02-5,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,[CH3:1][c:2]1[n:3][cH:4][cH:5][n:6]1[CH2:7][CH:8]1[CH2:9][CH2:10][c:11]2[c:12]([c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]3[n:19]2[CH3:20])[C:21]1=[O:22],1,7,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
523,42924-53-8,COc1ccc2cc(CCC(C)=O)ccc2c1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][c:8]([CH2:9][CH2:10][C:11]([CH3:12])=[O:13])[cH:14][cH:15][c:16]2[cH:17]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
524,35825-57-1,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,[CH3:1][CH:2]1[CH2:3][O:4][C:5]2=[C:6]1[C:7](=[O:8])[C:9](=[O:10])[c:11]1[c:12]2[cH:13][cH:14][c:15]2[c:16]1[CH2:17][CH2:18][CH2:19][C:20]2([CH3:21])[CH3:22],1,2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
525,568-72-9,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,[CH3:1][c:2]1[cH:3][o:4][c:5]2[c:6]1[C:7](=[O:8])[C:9](=[O:10])[c:11]1[c:12]-2[cH:13][cH:14][c:15]2[c:16]1[CH2:17][CH2:18][CH2:19][C:20]2([CH3:21])[CH3:22],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
526,95233-18-4,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1,[O:1]=[C:2]1[C:3](=[O:4])[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[C:11]([OH:12])=[C:13]1[CH:14]1[CH2:15][CH2:16][CH:17]([c:18]2[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]2)[CH2:25][CH2:26]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
527,88426-33-9,CC(C)(C)C1CCC(CC2=C(O)c3ccccc3C(=O)C2=O)CC1,[CH3:1][C:2]([CH3:3])([CH3:4])[CH:5]1[CH2:6][CH2:7][CH:8]([CH2:9][C:10]2=[C:11]([OH:12])[c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]3[C:19](=[O:20])[C:21]2=[O:22])[CH2:23][CH2:24]1,1,9,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
528,21145-77-7,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,[CH3:1][C:2](=[O:3])[c:4]1[cH:5][c:6]2[c:7]([cH:8][c:9]1[CH3:10])[C:11]([CH3:12])([CH3:13])[CH:14]([CH3:15])[CH2:16][C:17]2([CH3:18])[CH3:19],1,"10,14","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
529,1222-05-5,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,[CH3:1][CH:2]1[CH2:3][O:4][CH2:5][c:6]2[cH:7][c:8]3[c:9]([cH:10][c:11]21)[C:12]([CH3:13])([CH3:14])[CH:15]([CH3:16])[C:17]3([CH3:18])[CH3:19],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
530,104054-27-5,CCC1(c2cnc[nH]2)Cc2ccccc2C1,[CH3:1][CH2:2][C:3]1([c:4]2[cH:5][n:6][cH:7][nH:8]2)[CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[CH2:16]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
531,58-14-0 ,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,[CH3:1][CH2:2][c:3]1[n:4][c:5]([NH2:6])[n:7][c:8]([NH2:9])[c:10]1-[c:11]1[cH:12][cH:13][c:14]([Cl:15])[cH:16][cH:17]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
532,191-07-1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,[cH:1]1[cH:2][c:3]2[cH:4][cH:5][c:6]3[cH:7][cH:8][c:9]4[cH:10][cH:11][c:12]5[cH:13][cH:14][c:15]6[cH:16][cH:17][c:18]1[c:19]1[c:20]2[c:21]3[c:22]4[c:23]5[c:24]61,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
533,50-32-8,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[cH:7][c:8]1[cH:9][cH:10][c:11]3[cH:12][cH:13][cH:14][c:15]4[cH:16][cH:17][c:18]2[c:19]1[c:20]34,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
534,81-64-1,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21,[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C:9](=[O:10])[c:11]2[c:12]([OH:13])[cH:14][cH:15][c:16]([OH:17])[c:18]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
535,128-95-0,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,[NH2:1][c:2]1[cH:3][cH:4][c:5]([NH2:6])[c:7]2[c:8]1[C:9](=[O:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[C:17]2=[O:18],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
536,218-01-9,c1ccc2c(c1)ccc1c3ccccc3ccc21,[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[cH:7][cH:8][c:9]1[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[cH:16][cH:17][c:18]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
537,81-54-9,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C:9](=[O:10])[c:11]2[c:12]([OH:13])[c:14]([OH:15])[cH:16][c:17]([OH:18])[c:19]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
538,644-13-3,O=C(c1ccccc1)c1ccc2ccccc2c1,[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[c:9]1[cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
539,81-42-5,Nc1c(Cl)c(Cl)c(N)c2c1C(=O)c1ccccc1C2=O,[NH2:1][c:2]1[c:3]([Cl:4])[c:5]([Cl:6])[c:7]([NH2:8])[c:9]2[c:10]1[C:11](=[O:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[C:19]2=[O:20],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
540,613-13-8,Nc1ccc2cc3ccccc3cc2c1,[NH2:1][c:2]1[cH:3][cH:4][c:5]2[cH:6][c:7]3[cH:8][cH:9][cH:10][cH:11][c:12]3[cH:13][c:14]2[cH:15]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
541,34993-56-1,C#Cc1ccc2ccc3cccc4ccc1c2c34,[CH:1]#[C:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][c:9]3[cH:10][cH:11][cH:12][c:13]4[cH:14][cH:15][c:16]1[c:17]2[c:18]34,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
542,3029-32-1,O=C1c2cc3ccccc3cc2C(=O)c2cc3ccccc3cc21,[O:1]=[C:2]1[c:3]2[cH:4][c:5]3[cH:6][cH:7][cH:8][cH:9][c:10]3[cH:11][c:12]2[C:13](=[O:14])[c:15]2[cH:16][c:17]3[cH:18][cH:19][cH:20][cH:21][c:22]3[cH:23][c:24]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
543,484-17-3,Oc1cc2ccccc2c2ccccc12,[OH:1][c:2]1[cH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
544,21331-43-1,Nc1nc(-c2ccc3ccccc3c2)cs1,[NH2:1][c:2]1[n:3][c:4](-[c:5]2[cH:6][cH:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[cH:14]2)[cH:15][s:16]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
545,1090-13-7,O=C1c2ccccc2C(=O)c2cc3ccccc3cc21,[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[C:9](=[O:10])[c:11]2[cH:12][c:13]3[cH:14][cH:15][cH:16][cH:17][c:18]3[cH:19][c:20]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
547,23746-81-8,c1ccc2cc(-c3cc4ccccc4[nH]3)ccc2c1,[cH:1]1[cH:2][cH:3][c:4]2[cH:5][c:6](-[c:7]3[cH:8][c:9]4[cH:10][cH:11][cH:12][cH:13][c:14]4[nH:15]3)[cH:16][cH:17][c:18]2[cH:19]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
548,207-08-9,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,[cH:1]1[cH:2][cH:3][c:4]2[cH:5][c:6]3[c:7]([cH:8][c:9]2[cH:10]1)-[c:11]1[cH:12][cH:13][cH:14][c:15]2[cH:16][cH:17][cH:18][c:19]-3[c:20]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
549,129-56-6,O=C1c2ccccc2-c2n[nH]c3cccc1c23,[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2-[c:9]2[n:10][nH:11][c:12]3[cH:13][cH:14][cH:15][c:16]1[c:17]23,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
550,19694-02-1,O=C(O)c1ccc2ccc3cccc4ccc1c2c34,[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7]2[cH:8][cH:9][c:10]3[cH:11][cH:12][cH:13][c:14]4[cH:15][cH:16][c:17]1[c:18]2[c:19]34,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
551,239-01-0,c1ccc2c(c1)ccc1c3ccccc3[nH]c21,[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[cH:7][cH:8][c:9]1[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[nH:16][c:17]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
552,610-49-1,Nc1cccc2cc3ccccc3cc12,[NH2:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[cH:14][c:15]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
553,635-12-1,O=C1C=CC(=O)c2cc3ccccc3cc21,[O:1]=[C:2]1[CH:3]=[CH:4][C:5](=[O:6])[c:7]2[cH:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[cH:15][c:16]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
554,18801-00-8,CC(C)(C)c1ccc2cc3ccccc3cc2c1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]2[cH:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[cH:16][c:17]2[cH:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
555,164295-94-7,O=C(O)c1cc(-c2ccc3ccccc3c2)n[nH]1,[O:1]=[C:2]([OH:3])[c:4]1[cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[cH:16]2)[n:17][nH:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
556,10275-58-8,CC(C)(C)c1ccc2ccc(C(C)(C)C)cc2c1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]2[cH:9][cH:10][c:11]([C:12]([CH3:13])([CH3:14])[CH3:15])[cH:16][c:17]2[cH:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
557,3905-64-4,CC(C)(C)c1ccc2cc(C(C)(C)C)ccc2c1,[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]2[cH:9][c:10]([C:11]([CH3:12])([CH3:13])[CH3:14])[cH:15][cH:16][c:17]2[cH:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
558,3074-03-1,O=C1c2ccccc2-c2cc3ccccc3cc21,[O:1]=[C:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2-[c:9]2[cH:10][c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]3[cH:17][c:18]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
559,605-55-0,Oc1ccc2c(ccc3ccccc32)c1,[OH:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7][cH:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]23)[cH:15]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
561,476-60-8,Oc1ccc(O)c2c(O)c3ccccc3c(O)c12,[OH:1][c:2]1[cH:3][cH:4][c:5]([OH:6])[c:7]2[c:8]([OH:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[c:16]([OH:17])[c:18]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
562,117-77-1,Nc1cc2c(cc1O)C(=O)c1ccccc1C2=O,[NH2:1][c:2]1[cH:3][c:4]2[c:5]([cH:6][c:7]1[OH:8])[C:9](=[O:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[C:17]2=[O:18],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
563,14923-84-3,Nc1ccc2ccc3c(N)ccc4ccc1c2c43,[NH2:1][c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]3[c:9]([NH2:10])[cH:11][cH:12][c:13]4[cH:14][cH:15][c:16]1[c:17]2[c:18]34,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
564,53348-04-2,Nc1c(N)c2ccccc2c2ccccc12,[NH2:1][c:2]1[c:3]([NH2:4])[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
565,1800-42-6,O=C(c1ccc2ccccc2c1)C(F)(F)F,[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12]1)[C:13]([F:14])([F:15])[F:16],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
566,116-82-5,Nc1c(Br)cc(O)c2c1C(=O)c1ccccc1C2=O,[NH2:1][c:2]1[c:3]([Br:4])[cH:5][c:6]([OH:7])[c:8]2[c:9]1[C:10](=[O:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1[C:18]2=[O:19],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
568,32795-84-9,Brc1c2ccccc2cc2c1ccc1ccccc12,[Br:1][c:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[cH:9][c:10]2[c:11]1[cH:12][cH:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]21,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
570,90299-04-0,CC(C)(N)c1ccc2ccccc2c1,[CH3:1][C:2]([CH3:3])([NH2:4])[c:5]1[cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[cH:14]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
571,128-93-8,CNc1ccc(Br)c2c1C(=O)c1ccccc1C2=O,[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]([Br:7])[c:8]2[c:9]1[C:10](=[O:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][c:17]1[C:18]2=[O:19],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
572,86636-92-2,C=CC(=O)c1ccc2cc(N(C)C)ccc2c1,[CH2:1]=[CH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[cH:9][c:10]([N:11]([CH3:12])[CH3:13])[cH:14][cH:15][c:16]2[cH:17]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
574,93655-34-6,COC(=O)c1cccc2cc3cccc(C(=O)OC)c3cc12,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]2[cH:10][c:11]3[cH:12][cH:13][cH:14][c:15]([C:16](=[O:17])[O:18][CH3:19])[c:20]3[cH:21][c:22]12,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
