index,CAS,smiles,Mapped SMILES,Reactivity,Oxidation Site,Oxidation Site (one hot)
428,927-58-2,O=C(Cl)CCCBr,[O:1]=[C:2]([Cl:3])[CH2:4][CH2:5][CH2:6][Br:7],0,-1,"[0, 0, 0, 0, 0, 0, 0]"
429,1579-40-4,Cc1ccc(Oc2ccc(C)cc2)cc1,[CH3:1][c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([CH3:11])[cH:12][cH:13]2)[cH:14][cH:15]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
430,103-50-4,c1ccc(COCc2ccccc2)cc1,[cH:1]1[cH:2][cH:3][c:4]([CH2:5][O:6][CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:14][cH:15]1,1,"5,7","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
431,99-90-1,CC(=O)c1ccc(Br)cc1,[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([Br:8])[cH:9][cH:10]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
432,2446-83-5,CC(C)OC(=O)N=NC(=O)OC(C)C,[CH3:1][CH:2]([CH3:3])[O:4][C:5](=[O:6])[N:7]=[N:8][C:9](=[O:10])[O:11][CH:12]([CH3:13])[CH3:14],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
433,2018-61-3,CC(=O)NC(Cc1ccccc1)C(=O)O,[CH3:1][C:2](=[O:3])[NH:4][CH:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[C:13](=[O:14])[OH:15],1,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
434,17480-69-2,CC(NCc1ccccc1)c1ccccc1,[CH3:1][CH:2]([NH:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,"2,4","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
436,5437-45-6,O=C(CBr)OCc1ccccc1,[O:1]=[C:2]([CH2:3][Br:4])[O:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1,1,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
437,99548-54-6,COC(=O)c1cccc(Br)c1C,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([Br:10])[c:11]1[CH3:12],0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
438,57486-69-8,COC(=O)Cc1ccccc1Br,[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[Br:12],1,5,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
439,137-58-6,CCN(CC)CC(=O)Nc1c(C)cccc1C,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][C:7](=[O:8])[NH:9][c:10]1[c:11]([CH3:12])[cH:13][cH:14][cH:15][c:16]1[CH3:17],1,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
440,59721-16-3,CN(C)C(=O)COC(=O)Cc1ccc(O)cc1,[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][O:7][C:8](=[O:9])[CH2:10][c:11]1[cH:12][cH:13][c:14]([OH:15])[cH:16][cH:17]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
441,574-09-4,CCOC(C(=O)c1ccccc1)c1ccccc1,[CH3:1][CH2:2][O:3][CH:4]([C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
442,58-63-9,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,[O:1]=[c:2]1[nH:3][cH:4][n:5][c:6]2[c:7]1[n:8][cH:9][n:10]2[CH:11]1[O:12][CH:13]([CH2:14][OH:15])[CH:16]([OH:17])[CH:18]1[OH:19],1,"16,18","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
443,157864-32-9,Clc1nc(NCc2ccccc2)c2ccccc2n1,[Cl:1][c:2]1[n:3][c:4]([NH:5][CH2:6][c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2[n:19]1,1,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
